Team,Manager
No Regretzkys,Adam
Fuck Yeah Tom Wilson,Andrew
JC's Disciples,Andrew
The Hans Grubauers,Andrew
Come Fiala Deez Nuts,Andrew
The Tkachukle Fuckers,Andrew
Collin's Cool Team,Collin
Sugar Kane,Dan
Monahan Jobs,Derek
It Burns when I pee,Derek
Big Thick Blocks,Derek
The McDadDicks,Derek
Tkachuk'n rites boys,Derek
Good ontariyah boys,Evan
The Glatt Pack,Evan
The Bearded One,Jeremy
Go Home I'm drinkin,Jeremy
Classless Calow,Jeremy
Speak Up I'm Wasted,Jeremy
The Dirty Beavers,Jeremy
Good Cop Babcock,Jordan
Dump in the Corner,Jordan
Dumpster Fire,Jordan
BunchaPigeons,Jordan
Big Dirty,Kal
Dont Drink and Draft,Kal
Fuck Tom Wilson!,Mark
HatTrick Swayzes,Mark
Mitchell's Drangles,Mitch
Mitchell's Russians,Mitch
Mitchell's Mooners,Mitch
The Bill Crosby's,Noel
I'M BETTMEN!!!,Patrick
Commissioner Coulas,Patrick
Hail Satan,Ray
