Final Rank,Team,W-L-T,Pct,Div,Pts,Waiver,Moves,year,division,pre playoff rank
1,Fuck Yeah Tom Wilson,113-99-28,0.529,64-40-16,254,4,53,2018,Go Big or Go Home Division,3
2,Fuck Tom Wilson!,114-105-21,0.519,59-54-7,249,5,46,2018,No Guts No Glory Division,5
3,Good Cop Babcock,125-84-31,0.585,61-41-18,281,10,45,2018,No Guts No Glory Division,1
4,Hail Satan,128-89-23,0.581,63-45-12,279,8,3,2018,Go Big or Go Home Division,2
5,Sugar Kane,108-96-36,0.525,48-52-20,252,6,68,2018,Go Big or Go Home Division,4
6,Monahan Jobs,108-103-29,0.51,52-48-20,245,11,16,2018,No Guts No Glory Division,6
7,I'M BETTMEN!!!,88-112-40,0.45,36-65-19,216,7,26,2018,No Guts No Glory Division,10
8,Mitchell's Drangles,82-129-29,0.402,43-64-13,193,3,14,2018,Go Big or Go Home Division,12
9,Good ontariyah boys,100-106-34,0.488,51-52-17,234,2,4,2018,Go Big or Go Home Division,8
10,No Regretzkys,106-108-26,0.496,54-52-14,238,12,11,2018,No Guts No Glory Division,7
11,The Bearded One,98-111-31,0.473,52-54-14,227,1,12,2018,No Guts No Glory Division,9
12,Collin's Cool Team,92-120-28,0.442,45-61-14,212,9,6,2018,Go Big or Go Home Division,11
1,No Regretzkys,134-90-28,0.587,71-36-13,296,11,5,2019,Go Big or Go Home Division,1
2,JC's Disciples,129-96-27,0.565,55-52-13,285,1,25,2019,No Guts No Glory Division,2
3,Big Dirty,123-101-28,0.544,59-45-16,274,12,23,2019,No Guts No Glory Division,3
4,Dump in the Corner,122-103-27,0.538,57-47-16,271,9,86,2019,Go Big or Go Home Division,4
5,The Bill Crosby's,122-107-23,0.53,58-52-10,267,8,60,2019,Go Big or Go Home Division,5
6,I'M BETTMEN!!!,120-112-20,0.516,60-51-9,260,4,26,2019,No Guts No Glory Division,6
7,Sugar Kane,118-110-24,0.516,62-50-8,260,10,68,2019,No Guts No Glory Division,7
8,Go Home I'm drinkin,107-110-35,0.494,49-55-16,249,7,8,2019,Go Big or Go Home Division,8
9,Mitchell's Mooners,109-114-29,0.49,49-56-15,247,2,8,2019,No Guts No Glory Division,9
10,It Burns when I pee,107-121-24,0.472,53-57-10,238,3,14,2019,Go Big or Go Home Division,10
11,The Glatt Pack,87-138-27,0.399,37-68-15,201,6,3,2019,No Guts No Glory Division,11
12,Hail Satan,81-157-14,0.349,36-77-7,176,5,7,2019,Go Big or Go Home Division,12
1,Sugar Kane,75-68-13,0.522,38-36-10,163,7,59,2020,Go Big or Go Home Division,5
2,Mitchell's Mooners,76-65-15,0.535,52-23-9,167,12,22,2020,Go Big or Go Home Division,2
3,The Hans Grubauers,85-55-16,0.596,34-30-8,186,11,40,2020,No Guts No Glory Division,1
4,Big Thick Blocks,73-71-12,0.506,31-37-4,158,5,21,2020,Go Big or Go Home Division,6
5,HatTrick Swayzes,86-58-12,0.59,46-18-8,184,10,38,2020,No Guts No Glory Division,3
6,Hail Satan,79-63-14,0.551,38-38-8,172,2,5,2020,No Guts No Glory Division,4
7,Dumpster Fire,72-71-13,0.503,37-42-5,157,8,49,2020,No Guts No Glory Division,7
8,Commissioner Coulas,57-84-15,0.413,25-50-9,129,1,23,2020,No Guts No Glory Division,12
9,Speak Up I'm Wasted,65-74-17,0.471,39-36-9,147,3,8,2020,Go Big or Go Home Division,8
10,The Glatt Pack,59-80-17,0.433,28-43-13,135,4,5,2020,Go Big or Go Home Division,10
11,No Regretzkys,62-77-17,0.452,36-38-10,141,6,14,2020,No Guts No Glory Division,9
12,Dont Drink and Draft,57-80-19,0.426,25-38-9,133,9,33,2020,Go Big or Go Home Division,11
1,Sugar Kane,154-99-23,0.6,63-56-13,331,8,76,2021,Go Big or Go Home Division,1
2,The Tkachukle Fuckers,144-101-31,0.578,66-50-16,319,9,68,2021,Go Big or Go Home Division,3
3,Mitchell's Mooners,149-105-22,0.58,80-40-12,320,1,19,2021,No Guts No Glory Division,2
4,No Regretzkys,126-116-34,0.518,51-63-18,286,10,22,2021,Go Big or Go Home Division,5
5,Tkachuk'n rites boys,130-112-34,0.533,62-53-17,294,3,20,2021,Go Big or Go Home Division,4
6,HatTrick Swayzes,127-123-26,0.507,58-62-12,280,12,46,2021,Go Big or Go Home Division,6
7,Hail Satan,108-145-23,0.433,54-66-12,239,5,9,2021,No Guts No Glory Division,10
8,BunchaPigeons,113-133-30,0.464,50-66-16,256,11,103,2021,Go Big or Go Home Division,9
9,The Dirty Beavers,123-126-27,0.495,65-56-11,273,4,3,2021,No Guts No Glory Division,7
10,Dont Drink and Draft,123-130-23,0.487,66-59-7,269,6,23,2021,No Guts No Glory Division,8
11,Commissioner Coulas,104-141-31,0.433,52-66-14,239,2,28,2021,No Guts No Glory Division,11
12,The Glatt Pack,90-160-26,0.373,46-76-10,206,7,5,2021,No Guts No Glory Division,12
1,Sugar Kane,144-89-31,0.604,68-39-13,319,4,42,2022,No Guts No Glory Division,2
2,BunchaPigeons,153-80-31,0.638,90-37-17,337,10,35,2022,Go Big or Go Home Division,1
3,Come Fiala Deez Nuts!,120-113-31,0.513,57-61-14,271,9,50,2022,Go Big or Go Home Division,4
4,HatTrick Swayzes,128-108-28,0.538,63-54-15,284,7,44,2022,No Guts No Glory Division,3
5,Commissioner Coulas,116-114-34,0.504,57-59-16,266,8,26,2022,No Guts No Glory Division,5
6,Classless Calow,120-118-26,0.504,55-64-13,266,3,5,2022,No Guts No Glory Division,6
7,The McDadDicks,116-119-29,0.494,49-59-12,261,6,7,2022,Go Big or Go Home Division,7
8,Mitchell's Russians,102-137-25,0.434,59-61-12,229,1,8,2022,Go Big or Go Home Division,8
9,No Regretzkys,100-138-26,0.428,46-73-13,226,2,9,2022,No Guts No Glory Division,9
10,Hail Satan,78-161-25,0.343,36-73-11,181,5,2,2022,Go Big or Go Home Division,10
1,Mr. Andersson,140-112-24,0.551,65-59-8,304,8,48,2023,Go Big or Go Home Division,3
2,BunchaPigeons,137-114-25,0.542,69-65-10,299,6,50,2023,Go Big or Go Home Division,4
3,HatTrick Swayzes,153-103-20,0.591,70-52-10,326,5,50,2023,Go Big or Go Home Division,1
4,Commissioner Coulas,123-116-37,0.513,63-50-19,283,9,49,2023,No Guts No Glory Division,2
5,Sugar Kane,121-124-31,0.495,62-67-15,273,7,47,2023,No Guts No Glory Division,6
6,The McDadDicks,129-120-27,0.516,59-50-11,285,2,37,2023,Go Big or Go Home Division,5
7,Taxicab Kanefessions,98-146-32,0.413,47-84-13,228,10,16,2023,Go Big or Go Home Division,10
8,Clownin Rounds,114-133-29,0.466,62-56-14,257,1,7,2023,No Guts No Glory Division,8
9,Hail Satan,106-142-28,0.435,55-61-16,240,4,4,2023,No Guts No Glory Division,9
10,Snortin Laine’s Bustin Hymans,119-130-27,0.48,56-64-12,265,3,37,2023,No Guts No Glory Division,7
