name,gp,g,a,plus_minus,pim,ppp,sog,hit,blk,year,team_name,gwg,position,mult_position_player,avg_time_on_ice
Leon Draisaitl,69,43,65,-7,18,43,213,26,16,2019,Big Dirty,NA,,,
William Karlsson,27,8,13,3,12,3,57,18,21,2019,Big Dirty,NA,,,
Alex Pietrangelo,70,16,36,11,20,22,225,47,89,2019,Big Dirty,NA,,,
Thomas Chabot,68,6,32,-17,42,11,179,76,85,2019,Big Dirty,NA,,,
Sean Monahan,35,9,18,-12,12,10,88,36,11,2019,Big Dirty,NA,,,
Nazem Kadri,38,14,10,2,68,8,102,42,9,2019,Big Dirty,NA,,,
Matthew Tkachuk,69,23,39,-5,74,19,188,122,22,2019,Big Dirty,NA,,,
Milan Lucic,9,0,1,0,26,0,12,27,2,2019,Big Dirty,NA,,,
Viktor Arvidsson,17,4,6,0,2,3,39,9,6,2019,Big Dirty,NA,,,
Mikko Rantanen,37,16,17,2,14,11,95,25,23,2019,Big Dirty,NA,,,
Matt Dumba,51,5,13,-7,29,6,124,77,66,2019,Big Dirty,NA,,,
Patrick Kane,67,32,49,7,40,23,266,21,18,2019,Big Dirty,NA,,,
Ivan Provorov,69,12,23,10,24,15,149,84,111,2019,Big Dirty,NA,,,
Pierre-Luc Dubois,52,10,25,-8,28,7,120,57,41,2019,Big Dirty,NA,,,
Colton Parayko,31,2,5,1,4,0,68,44,59,2019,Big Dirty,NA,,,
Jakub Voracek,50,7,32,13,21,10,96,13,16,2019,Big Dirty,NA,,,
Cam Atkinson,1,0,0,0,0,0,1,0,0,2019,Big Dirty,NA,,,
Jared McCann,1,0,0,-1,0,0,1,0,1,2019,Big Dirty,NA,,,
Bo Horvat,20,8,7,-9,9,4,47,18,19,2019,Big Dirty,NA,,,
Brady Tkachuk,30,7,11,-8,73,4,104,146,20,2019,Big Dirty,NA,,,
Blake Coleman,10,0,1,2,18,0,22,26,7,2019,Big Dirty,NA,,,
Mikael Backlund,1,0,0,-4,0,0,1,0,1,2019,Big Dirty,NA,,,
Tyler Toffoli,9,5,4,3,4,3,34,14,2,2019,Big Dirty,NA,,,
Total,831,227,407,-24,538,202,2231,928,645,2019,Big Dirty,NA,,,
Brayden Schenn,52,13,19,-2,29,7,108,111,33,2020,Big Thick Blocks,NA,,,
David Perron,48,16,33,5,20,19,133,37,23,2020,Big Thick Blocks,NA,,,
Mikhail Sergachev,54,4,25,6,26,8,103,65,71,2020,Big Thick Blocks,NA,,,
Ben Chiarot,2,0,0,-2,5,0,3,7,2,2020,Big Thick Blocks,NA,,,
Dylan Larkin,13,4,3,-4,11,1,40,14,5,2020,Big Thick Blocks,NA,,,
Nicklas Backstrom,51,15,35,-1,14,20,88,21,25,2020,Big Thick Blocks,NA,,,
Jonathan Marchessault,27,8,13,7,33,2,89,17,6,2020,Big Thick Blocks,NA,,,
Evander Kane,55,22,27,3,40,7,193,94,22,2020,Big Thick Blocks,NA,,,
Blake Wheeler,40,10,23,-17,36,13,87,45,20,2020,Big Thick Blocks,NA,,,
Andrei Svechnikov,51,14,25,0,44,17,134,106,17,2020,Big Thick Blocks,NA,,,
Charlie McAvoy,46,4,23,17,32,7,84,58,72,2020,Big Thick Blocks,NA,,,
Ryan Ellis,21,2,7,-7,6,4,43,8,37,2020,Big Thick Blocks,NA,,,
Rasmus Ristolainen,44,4,10,-15,32,5,64,173,60,2020,Big Thick Blocks,NA,,,
Jonathan Huberdeau,49,20,41,17,30,24,102,48,10,2020,Big Thick Blocks,NA,,,
Dominik Kubalik,25,9,6,-1,6,3,69,29,7,2020,Big Thick Blocks,NA,,,
Mattias Ekholm,16,2,6,6,4,1,35,12,18,2020,Big Thick Blocks,NA,,,
Nick Leddy,15,1,5,-3,4,1,22,19,16,2020,Big Thick Blocks,NA,,,
Vladimir Tarasenko,10,2,5,1,0,3,29,13,7,2020,Big Thick Blocks,NA,,,
Nick Foligno,3,0,2,2,2,0,2,8,2,2020,Big Thick Blocks,NA,,,
Kasperi Kapanen,2,0,1,1,0,0,5,5,0,2020,Big Thick Blocks,NA,,,
Alex Killorn,4,1,2,-2,2,2,8,4,0,2020,Big Thick Blocks,NA,,,
Blake Coleman,8,4,3,3,6,0,27,19,5,2020,Big Thick Blocks,NA,,,
Travis Hamonic,2,0,0,-1,0,0,6,4,2,2020,Big Thick Blocks,NA,,,
Erik Cernak,4,1,2,0,2,0,6,9,3,2020,Big Thick Blocks,NA,,,
Filip Hronek,1,0,0,0,0,0,2,1,1,2020,Big Thick Blocks,NA,,,
Luke Schenn,2,0,0,2,2,0,4,6,0,2020,Big Thick Blocks,NA,,,
John Klingberg,1,0,0,-1,0,0,2,0,0,2020,Big Thick Blocks,NA,,,
Colton Parayko,1,0,0,-2,0,0,2,1,1,2020,Big Thick Blocks,NA,,,
Total,647,156,316,12,386,144,1490,934,465,2020,Big Thick Blocks,NA,,,
Shea Theodore,76,14,37,7,24,11,203,37,93,2021,BunchaPigeons,NA,,,
Nick Suzuki,21,4,11,-7,2,5,45,17,11,2021,BunchaPigeons,NA,,,
Jonathan Toews,2,0,0,-1,0,0,3,2,0,2021,BunchaPigeons,NA,,,
Artemi Panarin,75,22,74,21,18,37,177,22,14,2021,BunchaPigeons,NA,,,
Chris Kreider,81,52,25,22,24,33,258,141,39,2021,BunchaPigeons,NA,,,
Patrick Kane,75,26,64,-17,16,30,276,10,25,2021,BunchaPigeons,NA,,,
Dominik Kubalik,5,2,0,-5,2,1,11,10,3,2021,BunchaPigeons,NA,,,
Tyson Barrie,52,4,22,-1,10,12,102,21,54,2021,BunchaPigeons,NA,,,
Samuel Girard,5,0,2,-5,2,0,4,3,8,2021,BunchaPigeons,NA,,,
Sebastian Aho,78,35,44,18,38,28,214,76,23,2021,BunchaPigeons,NA,,,
Alexander Radulov,5,0,1,-1,0,0,9,6,6,2021,BunchaPigeons,NA,,,
Roman Josi,79,22,73,13,44,36,276,66,132,2021,BunchaPigeons,NA,,,
Ryan Ellis,4,1,4,2,0,2,6,1,6,2021,BunchaPigeons,NA,,,
Jaccob Slavin,1,0,1,0,0,0,0,0,1,2021,BunchaPigeons,NA,,,
Jeff Carter,1,0,0,-1,0,0,4,1,0,2021,BunchaPigeons,NA,,,
Erik Karlsson,9,2,2,2,2,2,21,5,8,2021,BunchaPigeons,NA,,,
Mats Zuccarello,3,1,1,-1,2,0,7,0,1,2021,BunchaPigeons,NA,,,
Nate Schmidt,4,0,2,0,0,2,5,2,9,2021,BunchaPigeons,NA,,,
Zack Kassian,1,0,0,-2,0,0,0,3,0,2021,BunchaPigeons,NA,,,
Blake Coleman,5,1,0,2,4,0,13,10,3,2021,BunchaPigeons,NA,,,
